"entityId","documentId","name","type","salience","metadata","sentimentMagnitude","sentimentScore"
"5d1a8876252477b10844739565eb3b9a","VERIFY_ALL_METHODS_SUCCESS","Pavol Demitra","PERSON","0.72309697","{""mid"": ""/m/037gq2"", ""wikipedia_url"": ""https://en.wikipedia.org/wiki/Pavol_Demitra""}","1.3","-0.1"
"1598ceb9d61615757396b4d0bf57bb7c","VERIFY_ALL_METHODS_SUCCESS","Slovak","LOCATION","0.07527902","","0","0"
"13d4f681f8ed7fa3273979bab0e82497","VERIFY_ALL_METHODS_SUCCESS","hockey","OTHER","0.035294246","","0.9","0.9"
"a6ddd9ecdd42ed60a4effa718ba2c4f4","VERIFY_ALL_METHODS_SUCCESS","teams","ORGANIZATION","0.02378612","","0","0"
"33e94158a42c2f85f2403af4e8781997","VERIFY_ALL_METHODS_SUCCESS","National Hockey League","ORGANIZATION","0.018687313","{""mid"": ""/m/05gwr"", ""wikipedia_url"": ""https://en.wikipedia.org/wiki/National_Hockey_League""}","0.4","0.1"
"1479ccf04e0c4d5ab44462047e5c9b30","VERIFY_ALL_METHODS_SUCCESS","hocker player","PERSON","0.017425364","","0.2","0.2"
"e955fb5921b7676ca559955b9ad9f306","VERIFY_ALL_METHODS_SUCCESS","carrer","OTHER","0.014896005","","0","0"
"a82ee0a436b676f3c0eed94a18275b6e","VERIFY_ALL_METHODS_SUCCESS","goals","OTHER","0.014896005","","0","0"
"79a8804323001c19ed95f9719a243463","VERIFY_ALL_METHODS_SUCCESS","Kontinental Hockey League","ORGANIZATION","0.01205511","{""mid"": ""/m/03ykpkx"", ""wikipedia_url"": ""https://en.wikipedia.org/wiki/Kontinental_Hockey_League""}","0.3","0.3"
"007e8762116e3a37322ddd1ca66449d1","VERIFY_ALL_METHODS_SUCCESS","Czechoslovak First Ice Hockey League","ORGANIZATION","0.011908517","{""mid"": ""/m/0dh_k_"", ""wikipedia_url"": ""https://en.wikipedia.org/wiki/Czechoslovak_First_Ice_Hockey_League""}","0","0"
"9c2fef6ea7287a29ac19a95c21772b69","VERIFY_ALL_METHODS_SUCCESS","seasons","EVENT","0.011722738","","0.8","0.8"
"fa44160d33b51611a728139e33614203","VERIFY_ALL_METHODS_SUCCESS","Slovak Extraliga","ORGANIZATION","0.009668272","{""mid"": ""/m/06pyy_"", ""wikipedia_url"": ""https://en.wikipedia.org/wiki/Tipsport_liga_(hockey)""}","0","0"
"d475c6aa5001427abb35db1e41fe1f4b","VERIFY_ALL_METHODS_SUCCESS","one","PERSON","0.007814933","","0.5","0.5"
"7c87d5215bc5c7a2e87488f263efd6d4","VERIFY_ALL_METHODS_SUCCESS","best","OTHER","0.007814933","","0.9","0.9"
"f70f42d36158bb7ef8dcef45c6c7f3fa","VERIFY_ALL_METHODS_SUCCESS","country","LOCATION","0.007814933","","0.3","0.3"
"1bf99f03131c79ee0798d1984801ec9a","VERIFY_ALL_METHODS_SUCCESS","plane crash","EVENT","0.004926258","","0.7","-0.7"
"46aaabc4e99cd0b17b2eb8a1b41a0c8a","VERIFY_ALL_METHODS_SUCCESS","Jaroslavl","LOCATION","0.0029132888","{""mid"": ""/m/0196_0"", ""wikipedia_url"": ""https://en.wikipedia.org/wiki/Yaroslavl""}","0","0"
"962c829748f8435d5ec466cad738d4d6","AUTO_DETECT_LANGUAGE_SUCCESS","Pavol Demitra","PERSON","1","{""mid"": ""/m/037gq2"", ""wikipedia_url"": ""https://en.wikipedia.org/wiki/Pavol_Demitra""}","0","0"
